Time,asks,bids,price
2020-05-15 19:00:00 UTC,28356561.0333979,17654221.4613211,9412.55564516129
2020-05-15 20:00:00 UTC,24928889.5505792,16899511.8070121,9297.74175373134
2020-05-15 21:00:00 UTC,25613852.56658,16636695.0452485,9334.73634782609
2020-05-15 22:00:00 UTC,26672702.4455104,17353657.2201992,9420.94947368421
2020-05-15 23:00:00 UTC,26137051.1263579,18401880.9846574,9348.05698529412
2020-05-16 00:00:00 UTC,25559206.7439136,19218792.0225814,9318.76160714285
2020-05-16 01:00:00 UTC,27860704.9535278,19017258.695002,9394.03377192983
2020-05-16 02:00:00 UTC,27717887.9471675,18843415.8255969,9417.57225409836
2020-05-16 03:00:00 UTC,27685480.3399015,19729671.8474402,9416.2775
2020-05-16 04:00:00 UTC,28504584.1042683,17841049.0287764,9457.11829545455
2020-05-16 05:00:00 UTC,29485446.1058616,16844927.2823219,9505.54509433963
2020-05-16 06:00:00 UTC,27810306.5895594,18553237.5262537,9455.43264
2020-05-16 07:00:00 UTC,27612314.4114229,19079975.0519858,9448.88210084033
2020-05-16 08:00:00 UTC,27156543.7420152,20628985.9768167,9394.76951327434
2020-05-16 09:00:00 UTC,27084461.6460286,20593566.7632532,9394.78642857143
2020-05-16 10:00:00 UTC,27200934.089844,19924158.3981105,9405.5048091603
2020-05-16 11:00:00 UTC,27554755.7938713,20428920.5607112,9424.21232283465
2020-05-16 12:00:00 UTC,28025760.3848757,20509649.1227703,9455.02621621621
2020-05-16 13:00:00 UTC,28681532.1952821,20362530.3297009,9467.84065420561
2020-05-16 14:00:00 UTC,28224812.7005626,22057332.0482262,9447.90241379311
2020-05-16 15:00:00 UTC,27323296.5973935,23665684.4769341,9398.50056910569
2020-05-16 16:00:00 UTC,26947024.6581206,22516774.6632411,9369.55253424657
2020-05-16 17:00:00 UTC,27391557.2760183,22608555.318451,9367.34704
2020-05-16 18:00:00 UTC,25435480.607734,23372223.5420745,9306.77036697248
2020-05-16 19:00:00 UTC,26169770.3185564,23629002.256165,9322.606875
2020-05-16 20:00:00 UTC,26859659.0336374,23323971.9212324,9347.43183333334
2020-05-16 21:00:00 UTC,27618303.6597777,23194070.6554266,9375.83880952381
2020-05-16 22:00:00 UTC,27930926.8931488,23056109.9846402,9390.58662601626
2020-05-16 23:00:00 UTC,28254557.4934064,22512421.9462433,9408.3212
2020-05-17 00:00:00 UTC,28142219.4475487,21719551.6607814,9417.22196969697
2020-05-17 01:00:00 UTC,29826643.2096444,20233423.2218862,9489.45415254237
2020-05-17 02:00:00 UTC,30005018.0845274,19290915.5517552,9526.50020833333
2020-05-17 03:00:00 UTC,30276178.4974994,19542767.6548764,9533.035390625
2020-05-17 04:00:00 UTC,29407968.5243941,17742982.3530547,9524.87253676471
2020-05-17 05:00:00 UTC,29282349.5208528,19088961.0207124,9505.95813084112
2020-05-17 06:00:00 UTC,29783836.6544723,19007225.9210268,9527.43242857143
2020-05-17 07:00:00 UTC,29655945.2017876,19057698.4736237,9528.05834558824
2020-05-17 08:00:00 UTC,28913572.4334142,19340706.7697667,9507.42858870968
2020-05-17 09:00:00 UTC,28454039.711471,19948725.1028894,9490.68824218751
2020-05-17 10:00:00 UTC,28599008.4177214,19771755.4894188,9516.70737623762
2020-05-17 11:00:00 UTC,28404651.258644,19742555.4434369,9513.07256302521
2020-05-17 12:00:00 UTC,33248462.4233206,16088925.7034507,9696.64231578948
2020-05-17 13:00:00 UTC,32688466.9285726,16424425.6291806,9727.338
2020-05-17 14:00:00 UTC,33940934.7443544,16622574.3589574,9757.36421296296
2020-05-17 15:00:00 UTC,33109501.2027253,16657982.9302487,9818.35207920793
2020-05-17 16:00:00 UTC,33074774.1631736,16522648.3959446,9774.78656521739
2020-05-17 17:00:00 UTC,32926510.9363503,17309779.3524173,9753.60610576923
2020-05-17 18:00:00 UTC,32791839.839725,17954216.6275692,9740.71527272727
2020-05-17 19:00:00 UTC,32466011.703258,17595788.7345287,9759.73912499999
2020-05-17 20:00:00 UTC,32393431.1480543,16795608.3939203,9751.7985
2020-05-17 21:00:00 UTC,31594136.3022709,17408686.1994144,9763.32514705883
2020-05-17 22:00:00 UTC,30224273.9051407,17546529.6594009,9671.04807377049
2020-05-17 23:00:00 UTC,30689128.6138053,17821406.7828321,9687.47173267327
2020-05-18 00:00:00 UTC,32517722.2667055,19566870.141426,9747.79545454545
2020-05-18 01:00:00 UTC,31358679.6050323,17202634.1713909,9881.94738095238
2020-05-18 02:00:00 UTC,31402690.2274945,16181365.8054016,9883.03147058824
2020-05-18 03:00:00 UTC,30120928.1630265,18197152.7762566,9856.86176000001
2020-05-18 04:00:00 UTC,29725722.5330388,19031323.9800694,9875.3657936508
2020-05-18 05:00:00 UTC,29593573.720693,20551931.177969,9870.43055555555
2020-05-18 06:00:00 UTC,31269494.0533929,21315291.6855963,9796.79548245614
2020-05-18 07:00:00 UTC,31084592.2193547,22211475.6226854,9777.3677480916
2020-05-18 08:00:00 UTC,30297756.2014338,22468961.7201839,9714.54611111111
2020-05-18 09:00:00 UTC,28430234.0895238,21678749.6907123,9572.50732323232
2020-05-18 10:00:00 UTC,29314508.3404626,21986387.0150958,9623.14418103448
2020-05-18 11:00:00 UTC,30124560.0511519,21909497.7784538,9650.19806722689
2020-05-18 12:00:00 UTC,29528356.2010081,22725517.7956581,9618.59642857143
2020-05-18 13:00:00 UTC,30314009.362065,22841126.9683632,9661.29963917525
2020-05-18 14:00:00 UTC,29333302.8369323,22529219.3753661,9691.93420454546
2020-05-18 15:00:00 UTC,28146685.458542,22643755.9278317,9681.02961038961
2020-05-18 16:00:00 UTC,29241893.367808,22993884.9775997,9646.43211864407
2020-05-18 17:00:00 UTC,29307908.4487676,22925894.5118894,9613.67919642857
2020-05-18 18:00:00 UTC,29051863.2850659,18707494.9041093,9626.70714285715
2020-05-18 19:00:00 UTC,29697066.600325,17646810.9368159,9690.87069767442
2020-05-18 20:00:00 UTC,29916640.3910121,17849322.7575859,9675.22394736842
2020-05-18 21:00:00 UTC,31005565.4524947,19923814.7137105,9696.90514705883
